investor_id,sip_count,avg_gap_days,risk_status
INV001654,6,56.0,At-Risk
INV001656,7,59.857142857142854,At-Risk
INV001662,5,60.2,At-Risk
INV001672,8,34.0,Regular
INV001673,10,49.3,At-Risk
INV001680,8,58.875,At-Risk
INV001683,6,72.5,At-Risk
INV001689,5,83.6,At-Risk
INV001690,6,81.16666666666667,At-Risk
INV001691,5,82.0,At-Risk
INV001694,7,66.14285714285714,At-Risk
INV001697,8,62.5,At-Risk
INV001699,5,83.2,At-Risk
INV001709,5,51.8,At-Risk
INV001711,6,65.83333333333333,At-Risk
INV001712,5,66.6,At-Risk
INV001715,7,68.28571428571429,At-Risk
INV001718,5,84.0,At-Risk
INV001724,6,69.66666666666667,At-Risk
INV001728,7,50.57142857142857,At-Risk
INV001737,6,56.833333333333336,At-Risk
INV001738,8,47.5,At-Risk
INV001739,8,52.5,At-Risk
INV001741,5,89.4,At-Risk
INV001744,6,78.5,At-Risk
INV001752,6,69.33333333333333,At-Risk
INV001753,10,42.8,At-Risk
INV001757,7,55.57142857142857,At-Risk
INV001759,9,49.55555555555556,At-Risk
INV001769,5,98.0,At-Risk
INV001772,5,95.0,At-Risk
INV001775,7,29.142857142857142,Regular
INV001777,8,57.625,At-Risk
INV001778,7,63.57142857142857,At-Risk
INV001797,6,79.66666666666667,At-Risk
INV001800,6,49.666666666666664,At-Risk
INV001802,6,61.666666666666664,At-Risk
INV001803,5,59.0,At-Risk
INV001804,7,55.857142857142854,At-Risk
INV001806,7,60.0,At-Risk
INV001809,5,95.6,At-Risk
INV001811,8,54.25,At-Risk
INV001822,5,19.8,Regular
INV001823,7,58.142857142857146,At-Risk
INV001826,5,51.2,At-Risk
INV001828,7,44.42857142857143,At-Risk
INV001831,5,72.8,At-Risk
INV001837,6,62.833333333333336,At-Risk
INV001841,5,56.2,At-Risk
INV001853,7,47.42857142857143,At-Risk
INV001858,7,55.142857142857146,At-Risk
INV001865,6,63.5,At-Risk
INV001866,5,58.8,At-Risk
INV001870,6,76.0,At-Risk
INV001871,6,55.0,At-Risk
INV001883,5,99.2,At-Risk
INV001885,5,71.2,At-Risk
INV001886,8,50.75,At-Risk
INV001890,5,102.6,At-Risk
INV001891,5,96.4,At-Risk
INV001909,7,62.142857142857146,At-Risk
INV001912,5,86.4,At-Risk
INV001920,6,39.0,At-Risk
INV001921,7,68.57142857142857,At-Risk
INV001923,6,80.66666666666667,At-Risk
INV001924,6,59.166666666666664,At-Risk
INV001927,5,58.8,At-Risk
INV001929,5,66.2,At-Risk
INV001937,7,60.42857142857143,At-Risk
INV001938,8,43.0,At-Risk
INV001943,5,74.4,At-Risk
INV001950,6,60.166666666666664,At-Risk
INV001951,6,58.833333333333336,At-Risk
INV001954,5,86.8,At-Risk
INV001955,5,76.0,At-Risk
INV001961,5,83.4,At-Risk
INV001969,5,79.2,At-Risk
INV001971,7,54.714285714285715,At-Risk
INV001972,7,42.42857142857143,At-Risk
INV001978,5,83.2,At-Risk
INV001979,5,55.4,At-Risk
INV001982,5,85.8,At-Risk
INV001986,6,47.666666666666664,At-Risk
INV001987,6,67.0,At-Risk
INV001990,7,45.285714285714285,At-Risk
INV001993,5,56.6,At-Risk
INV001995,5,48.6,At-Risk
INV001997,5,88.6,At-Risk
INV002001,5,84.8,At-Risk
INV002006,5,73.6,At-Risk
INV002010,5,74.6,At-Risk
INV002017,6,44.666666666666664,At-Risk
INV002018,5,63.6,At-Risk
INV002019,5,68.8,At-Risk
INV002025,6,55.833333333333336,At-Risk
INV002033,6,55.0,At-Risk
INV002034,7,69.0,At-Risk
INV002037,5,33.2,Regular
INV002038,5,84.0,At-Risk
INV002051,5,78.6,At-Risk
INV002052,6,44.166666666666664,At-Risk
INV002069,9,47.55555555555556,At-Risk
INV002070,6,81.33333333333333,At-Risk
INV002083,9,51.666666666666664,At-Risk
INV002085,5,65.0,At-Risk
INV002090,5,90.2,At-Risk
INV002092,6,33.5,Regular
INV002101,5,80.2,At-Risk
INV002102,5,44.8,At-Risk
INV002107,7,71.14285714285714,At-Risk
INV002111,7,62.42857142857143,At-Risk
INV002119,5,78.0,At-Risk
INV002121,6,68.5,At-Risk
INV002122,6,40.333333333333336,At-Risk
INV002127,5,60.2,At-Risk
INV002134,6,82.66666666666667,At-Risk
INV002138,5,91.8,At-Risk
INV002142,8,45.5,At-Risk
INV002143,7,63.57142857142857,At-Risk
INV002149,7,42.285714285714285,At-Risk
INV002150,5,73.6,At-Risk
INV002151,8,60.375,At-Risk
INV002153,6,67.83333333333333,At-Risk
INV002154,5,89.4,At-Risk
INV002155,5,78.0,At-Risk
INV002157,6,58.5,At-Risk
INV002159,5,65.0,At-Risk
INV002162,8,58.375,At-Risk
INV002166,5,99.2,At-Risk
INV002171,6,55.833333333333336,At-Risk
INV002177,6,73.0,At-Risk
INV002178,7,66.42857142857143,At-Risk
INV002179,7,54.142857142857146,At-Risk
INV002182,6,70.5,At-Risk
INV002185,5,48.4,At-Risk
INV002186,6,74.83333333333333,At-Risk
INV002187,6,67.83333333333333,At-Risk
INV002195,8,49.25,At-Risk
INV002196,7,62.142857142857146,At-Risk
INV002198,8,43.0,At-Risk
INV002199,6,50.833333333333336,At-Risk
INV002202,7,70.42857142857143,At-Risk
INV002206,6,49.0,At-Risk
INV002208,6,71.33333333333333,At-Risk
INV002211,6,63.833333333333336,At-Risk
INV002216,7,61.714285714285715,At-Risk
INV002218,5,67.8,At-Risk
INV002219,7,70.85714285714286,At-Risk
INV002228,5,68.6,At-Risk
INV002229,5,64.6,At-Risk
INV002230,7,57.57142857142857,At-Risk
INV002232,6,69.16666666666667,At-Risk
INV002236,6,73.66666666666667,At-Risk
INV002237,6,51.666666666666664,At-Risk
INV002240,6,77.83333333333333,At-Risk
INV002241,6,65.66666666666667,At-Risk
INV002251,5,62.6,At-Risk
INV002256,5,75.6,At-Risk
INV002259,6,45.333333333333336,At-Risk
INV002260,5,77.8,At-Risk
INV002265,6,63.166666666666664,At-Risk
INV002277,6,67.33333333333333,At-Risk
INV002280,6,71.66666666666667,At-Risk
INV002282,5,53.2,At-Risk
INV002284,5,85.0,At-Risk
INV002290,5,61.6,At-Risk
INV002294,7,48.714285714285715,At-Risk
INV002295,6,64.5,At-Risk
INV002298,5,23.2,Regular
INV002304,9,42.55555555555556,At-Risk
INV002315,6,71.83333333333333,At-Risk
INV002319,6,60.0,At-Risk
INV002322,5,63.4,At-Risk
INV002327,5,76.4,At-Risk
INV002329,6,57.0,At-Risk
INV002342,5,74.2,At-Risk
INV002343,8,57.75,At-Risk
INV002347,8,40.5,At-Risk
INV002348,5,94.4,At-Risk
INV002349,5,52.2,At-Risk
INV002351,5,77.2,At-Risk
INV002357,6,68.33333333333333,At-Risk
INV002360,8,56.125,At-Risk
INV002361,5,55.4,At-Risk
INV002367,6,52.5,At-Risk
INV002368,6,61.166666666666664,At-Risk
INV002369,5,60.0,At-Risk
INV002370,6,70.16666666666667,At-Risk
INV002372,5,95.2,At-Risk
INV002373,7,70.14285714285714,At-Risk
INV002374,5,21.2,Regular
INV002384,9,39.111111111111114,At-Risk
INV002388,5,33.2,Regular
INV002389,9,50.77777777777778,At-Risk
INV002390,5,47.0,At-Risk
INV002391,5,40.2,At-Risk
INV002395,5,97.0,At-Risk
INV002400,8,55.375,At-Risk
INV002401,7,59.142857142857146,At-Risk
INV002402,6,47.166666666666664,At-Risk
INV002407,6,47.833333333333336,At-Risk
INV002409,7,55.57142857142857,At-Risk
INV002413,7,53.0,At-Risk
INV002415,7,57.42857142857143,At-Risk
INV002417,6,83.33333333333333,At-Risk
INV002418,5,91.6,At-Risk
INV002420,5,72.8,At-Risk
INV002422,9,50.333333333333336,At-Risk
INV002429,5,78.6,At-Risk
INV002434,5,88.2,At-Risk
INV002437,6,49.166666666666664,At-Risk
INV002445,7,38.142857142857146,At-Risk
INV002453,6,63.0,At-Risk
INV002458,5,72.4,At-Risk
INV002459,7,53.714285714285715,At-Risk
INV002463,5,95.4,At-Risk
INV002464,5,35.4,At-Risk
INV002466,6,80.66666666666667,At-Risk
INV002467,7,38.857142857142854,At-Risk
INV002471,5,56.4,At-Risk
INV002475,9,49.666666666666664,At-Risk
INV002476,5,86.0,At-Risk
INV002485,5,70.4,At-Risk
INV002490,7,70.0,At-Risk
INV002495,5,82.2,At-Risk
INV002496,5,53.0,At-Risk
INV002497,7,67.28571428571429,At-Risk
INV002508,8,51.625,At-Risk
INV002509,9,33.666666666666664,Regular
INV002510,6,64.33333333333333,At-Risk
INV002521,5,74.6,At-Risk
INV002527,6,49.666666666666664,At-Risk
INV002530,7,71.42857142857143,At-Risk
INV002531,6,76.33333333333333,At-Risk
INV002543,6,74.66666666666667,At-Risk
INV002547,5,89.0,At-Risk
INV002552,9,48.22222222222222,At-Risk
INV002554,6,49.666666666666664,At-Risk
INV002555,6,72.0,At-Risk
INV002557,6,67.16666666666667,At-Risk
INV002558,5,97.6,At-Risk
INV002560,5,95.2,At-Risk
INV002563,5,65.8,At-Risk
INV002567,5,82.0,At-Risk
INV002568,7,61.57142857142857,At-Risk
INV002570,6,62.0,At-Risk
INV002572,7,55.714285714285715,At-Risk
INV002574,5,79.4,At-Risk
INV002575,8,56.125,At-Risk
INV002579,5,40.8,At-Risk
INV002582,5,77.4,At-Risk
INV002585,5,65.0,At-Risk
INV002586,5,87.2,At-Risk
INV002590,9,50.22222222222222,At-Risk
INV002591,5,52.2,At-Risk
INV002594,5,94.0,At-Risk
INV002598,8,51.375,At-Risk
INV002602,7,66.0,At-Risk
INV002606,5,89.6,At-Risk
INV002613,7,65.0,At-Risk
INV002622,6,76.66666666666667,At-Risk
INV002627,5,85.0,At-Risk
INV002628,5,77.0,At-Risk
INV002632,7,65.57142857142857,At-Risk
INV002640,6,70.0,At-Risk
INV002643,5,74.2,At-Risk
INV002645,6,45.166666666666664,At-Risk
INV002654,7,61.857142857142854,At-Risk
INV002659,6,62.333333333333336,At-Risk
INV002666,6,53.166666666666664,At-Risk
INV002671,6,77.16666666666667,At-Risk
INV002673,7,65.0,At-Risk
INV002674,5,75.8,At-Risk
INV002675,7,63.857142857142854,At-Risk
INV002681,6,83.66666666666667,At-Risk
INV002684,5,80.6,At-Risk
INV002688,8,37.0,At-Risk
INV002689,7,50.0,At-Risk
INV002693,6,45.833333333333336,At-Risk
INV002697,6,55.333333333333336,At-Risk
INV002700,6,79.83333333333333,At-Risk
INV002704,7,59.142857142857146,At-Risk
INV002705,7,22.571428571428573,Regular
INV002706,5,73.6,At-Risk
INV002711,7,65.57142857142857,At-Risk
INV002712,10,46.8,At-Risk
INV002722,5,61.4,At-Risk
INV002723,8,37.75,At-Risk
INV002724,5,76.6,At-Risk
INV002726,7,45.57142857142857,At-Risk
INV002732,7,70.71428571428571,At-Risk
INV002733,7,51.57142857142857,At-Risk
INV002735,6,68.16666666666667,At-Risk
INV002736,5,70.6,At-Risk
INV002737,7,58.42857142857143,At-Risk
INV002743,5,88.2,At-Risk
INV002744,9,52.888888888888886,At-Risk
INV002746,7,68.0,At-Risk
INV002750,5,72.4,At-Risk
INV002751,6,41.5,At-Risk
INV002758,5,81.0,At-Risk
INV002761,5,80.6,At-Risk
INV002766,5,70.6,At-Risk
INV002767,6,55.333333333333336,At-Risk
INV002769,6,82.0,At-Risk
INV002772,6,74.5,At-Risk
INV002779,5,64.2,At-Risk
INV002783,6,64.0,At-Risk
